信息_链接,岗位名称,薪水,技能关键词,标签,工作经验,学历要求,工作地点,公司名称,公司信息,公司标签,其它信息,最低薪资,最高薪资,薪资单位,年薪月数,平均月薪,公司类型,公司规模,所属行业,城市,区域
http://www.zhaopin.com/jobdetail/CC000544460J40476156116.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,python自动化测试工程师,7000-11000元·13薪,Python UI自动化测试 接口自动化测试,Python,1-3年,本科,成都·郫都·友爱,软通动力信息技术(集团)股份有限公司,上市公司 10000人以上 软件/IT服务,贾飞·HR,6小时内回复可能性大,7000.0,11000.0,元,13.0,9000.0,上市公司,10000人以上,软件/IT服务,成都,郫都
http://www.zhaopin.com/jobdetail/CCL1480117890J40775572805.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,Java/Python/C/C++/Web/测试工程师,1.4-2.8万·16薪,JavaScript C++ Spring C Mybatis MySQL Redis PostgreSQL 下午茶 年终奖 健身房,JavaScript,经验不限,本科,成都·双流·西航港,外企德科数字技术有限公司,合资 10000人以上 软件/IT服务,姚女士·招聘主管,6小时内回复可能性大,14000.0,28000.0,万,16.0,21000.0,合资,10000人以上,软件/IT服务,成都,双流
http://www.zhaopin.com/jobdetail/CC226582510J40771258106.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,python中级开发工程师,1.2-1.6万,,,3-5年,本科,成都·金牛·金泉,四川星海数创科技有限公司,民营 100-299人 电力/水利/热力/燃气,杜女士·人事经理,12小时内回复可能性大,12000.0,16000.0,万,12.0,14000.0,民营,100-299人,电力/水利/热力/燃气,成都,金牛
http://www.zhaopin.com/jobdetail/CC286972930J40885043712.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,python全栈工程师,1.5-2万·13薪,Linux 多线程 SQL Sql Django Flask MySQL PostgreSQL,Linux,3-5年,本科,成都·武侯·桂溪,成都微银合创科技有限公司,民营 20-99人 软件/IT服务,张女士·人事经理,昨日活跃,15000.0,20000.0,万,13.0,17500.0,民营,20-99人,软件/IT服务,成都,武侯
http://www.zhaopin.com/jobdetail/CCL1480117890J40865270005.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,Java/C/C++/Python/JS 软件开发测试工程师,1.5-2.5万·14薪,C++ Python C Java JS,C++,经验不限,本科,成都·郫都·合作街道,外企德科数字技术有限公司,合资 10000人以上 软件/IT服务,景女士·招聘主管,3小时内回复可能性大,15000.0,25000.0,万,14.0,20000.0,合资,10000人以上,软件/IT服务,成都,郫都
http://www.zhaopin.com/jobdetail/CCL1288195330J40891374803.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,Python开发工程师,1-1.4万,MySQL,MySQL,3-5年,本科,成都·双流·东升,北京联纵宸捷科技有限公司,民营 20-99人 软件/IT服务,王女士·招聘专员,今日活跃,10000.0,14000.0,万,12.0,12000.0,民营,20-99人,软件/IT服务,成都,双流
http://www.zhaopin.com/jobdetail/CCL1487355790J40844414811.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,python测试开发工程师,1.5-2.5万,Python 软件测试,Python,3-5年,本科,成都·双流·东升,四川中久数创科技有限公司,100-299人 软件/IT服务,赵女士·HR人力资源专员,12小时内回复可能性大,15000.0,25000.0,万,12.0,20000.0,,100-299人,软件/IT服务,成都,双流
http://www.zhaopin.com/jobdetail/CC120409680J40836363209.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,Python后端开发工程师（爬虫方向）,1-1.3万,,,3-5年,大专,成都·双流·华阳,新讯数字科技(杭州)有限公司北京分公司,民营 1000-9999人 通信运营商/电信增值服务,吕女士·HRBP,高回复率,10000.0,13000.0,万,12.0,11500.0,民营,1000-9999人,通信运营商/电信增值服务,成都,双流
http://www.zhaopin.com/jobdetail/CC842883450J40889948703.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,python AI 应用开发工程师（外包/长期）,1.3-2万,PYTHON AI应用开发工程师,PYTHON AI应用开发工程师,3-5年,大专,成都·武侯·桂溪,成都甲乙方程科技有限公司,民营 20-99人 软件/IT服务,张女士·HR,高回复率,13000.0,20000.0,万,12.0,16500.0,民营,20-99人,软件/IT服务,成都,武侯
http://www.zhaopin.com/jobdetail/CCL1451727470J40917510815.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,python后端开发工程师,8000-12000元·13薪,MySQL PostgreSQL,MySQL,3-5年,本科,成都·双流·永安,四川汇宇悦迎医药科技有限公司,上市公司 1000-9999人 生物/制药,王菊·经理,高回复率,8000.0,12000.0,元,13.0,10000.0,上市公司,1000-9999人,生物/制药,成都,双流
http://www.zhaopin.com/jobdetail/CC859088160J40808487216.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,python后端开发工程师,7000-11000元·13薪,PHP MySQL Redis Web API Socket 网络架构,PHP,1-3年,本科,成都·郫都·犀浦,成都四相致新科技有限公司,民营 100-299人 通信/网络设备,唐女士·人事专员,12小时内回复可能性大,7000.0,11000.0,元,13.0,9000.0,民营,100-299人,通信/网络设备,成都,郫都
